model_name,app,task_type,instruction,score,timeuse,op_times
,高德,type21,da开高德，点ji更多gong具，在高德精选🀄️找倒语音包，并点入h,49.2593,12.505,7
,京东,type21,，，打开京东，点击 我的，dianji设置，滑动划动找倒模式切换，点击进入hou选择长辈模式（（（,39.5833,14.4105,8
,美团,type21,打开美团，惦记--电影演出，点击上-边左侧1的“电影/影院”，选中“巨幕影城（光谷广场资本大厦店），。。buy 今天（12月1日），12:10分🉐疯狂动物城2的电影票,100.0,8.2655,4
,淘宝,type21,打开。淘宝，点击dd上方国补，点击国补官方榜单，选择电视，点击22第4个产品，点击加入dd购物车，选择2件，选择【144Hz高刷 2+64GB大存储】REDMI AI X65,100.0,14.0674,7
,网易云音乐,type21,hhhhhhhhh打开网易云音乐，点击每日推荐，。dianji播放全部,100.0,3.5593,2
,微博,type21,我希望你严格遵循以下指令（严肃😠），✅关注杨奇超话的任务 1）打开weibo 2）在下方图标栏dian击我 3）查看关注 4）下滑找到 -杨奇-     ---并点击 5）点超话 6）点关注，快点开始吧 ,0.0,6.943,6
,小红书,type21,打开‘小红】】书，点击】】】市集，点击【【【潮玩，选择【】结界兽00并点击,100.0,7.7903,4
,知乎,type21,9090打开知乎，点击%……¥%…消息，点击评论转发31212,100.0,3.5444,2
,bilibili,type21,打开bilibili，点击叶面下房图标我的，点击关注，上滑找到影视飓风，点几进入影视飓风的主业，点击充电,0.0,10.4882,6
,携程,type21,打开携程旅行，dianji酒店，城市点击后       再国内热门城市中煊泽北京 time选择12月24日-12月25，价格选择300-400后点击完成，点击查询酒店,10.0,12.2677,7
,饿了么,type21,打开饿了么，在推荐 首页  点击 甜品  饮品，在精选中上  滑找到     霸王      茶姬（中商世     界里店），点击  左侧  轻 因 专区 栏 ，点 击  轻因 ·伯 牙绝弦， 将其  加入购物车， 依次选  择大杯， 少 冰，标  准糖,12.5,14.005,7
,同城,type21,😆😊😊打开同城旅行，点击旅游，emmmm点击跟团游，然后呢，出发日期。。。点击后选择2025年12月18日，游玩天数点击      后选择3天，目的地点击后😊选择成都，,50.0,19.4362,10
,bilibili,type1,在b站搜索一下starcraft,100.0,4.943,3
,bilibili,type2,在b站搜索starcraft并播放相关内容的第一个视频,100.0,6.5706,4
,bilibili,type3,在b站搜一下up主小潮院长,100.0,4.5018,3
,bilibili,type4,打开b站，关注搜索up主影视飓风，并且关注，然后给他发私信消息“KKSK,100.0,13.3275,8
,bilibili,type5,在up主小潮院长的垃圾人视频下评论赞,38.4615,20.5583,11
,bilibili,type6,打开知乎，在搜索页面，查看bilibili热搜的完整榜单,49.6,13.1115,7
,bilibili,type7,打开b站，查看会员购中的我的订单,100.0,4.0513,2
,携程,type1,打开携程，查看我的收藏,100.0,3.8422,2
,携程,type2,打开携程，搜索上海宝格丽酒店,100.0,7.7393,4
,携程,type3,打开携程，查看我的行程,100.0,1.8851,1
,携程,type4,打开携程，查看2025年11月24日 上海前往北京的火车票,100.0,3.7078,2
,携程,type5,打开携程，查询上海前往北京的机票信息,100.0,3.6286,2
,携程,type6,打开携程，帮我订一个上海外滩附近的12月24日至12月25日的价格不超过400元的酒店，需要带早餐,9.0909,14.4196,7
,携程,type7,打开携程，帮我查询一下上海外滩附近的12月24日至12月25日的名宿 要求 2人 / 2床 / 2居,59.2105,25.3016,14
,携程,type8,打开携程，帮我订一间在上海嘉善路附近的酒店，日期选择12月24日至12月25日，价格选择400-500，评分最好是4.9以上，含早餐的大床房,6.6667,16.3534,7
,饿了么,type1,打开饿了么后，帮我搜索麦当劳，并点入,100.0,5.0698,3
,饿了么,type2,打开饿了吗，查看我的购物车,100.0,1.9002,1
,饿了么,type3,打开饿了吗，新增收获地址上海交通大学徐汇校区（4号门),100.0,16.8974,8
,饿了么,type4,打开饿了吗，在 学生福利 中认证并领取 “学生认证礼”,100.0,3.7331,2
,饿了么,type5,帮我在霸王茶姬点一杯大杯的桂馥兰香（桂花乌龙），去冰、标准糖，
