app,task_type,instruction,score,timeuse,op_times
高德,type21,da开高德，点ji更多gong具，在高德精选🀄️找倒语音包，并点入h,100.0,8.3565,3
京东,type21,，，打开京东，点击 我的，dianji设置，滑动划动找倒模式切换，点击进入hou选择长辈模式（（（,39.2857,12.0693,8
美团,type21,打开美团，惦记--电影演出，点击上-边左侧1的“电影/影院”，选中“巨幕影城（光谷广场资本大厦店），。。buy 今天（12月1日），12:10分🉐疯狂动物城2的电影票,100.0,6.9425,4
淘宝,type21,打开。淘宝，点击dd上方国补，点击国补官方榜单，选择电视，点击22第4个产品，点击加入dd购物车，选择2件，选择【144Hz高刷 2+64GB大存储】REDMI AI X65,100.0,12.312,7
网易云音乐,type21,hhhhhhhhh打开网易云音乐，点击每日推荐，。dianji播放全部,100.0,3.5919,2
微博,type21,我希望你严格遵循以下指令（严肃😠），✅关注杨奇超话的任务 1）打开weibo 2）在下方图标栏dian击我 3）查看关注 4）下滑找到 -杨奇-     ---并点击 5）点超话 6）点关注，快点开始吧 ,16.6667,10.4025,7
小红书,type21,打开‘小红】】书，点击】】】市集，点击【【【潮玩，选择【】结界兽00并点击,100.0,5.0949,3
知乎,type21,9090打开知乎，点击%……¥%…消息，点击评论转发31212,100.0,3.3317,2
bilibili,type21,打开bilibili，点击叶面下房图标我的，点击关注，上滑找到影视飓风，点几进入影视飓风的主业，点击充电,38.9286,14.5014,9
携程,type21,打开携程旅行，dianji酒店，城市点击后       再国内热门城市中煊泽北京 time选择12月24日-12月25，价格选择300-400后点击完成，点击查询酒店,87.2222,27.3857,16
饿了么,type21,打开饿了么，在推荐 首页  点击 甜品  饮品，在精选中上  滑找到     霸王      茶姬（中商世     界里店），点击  左侧  轻 因 专区 栏 ，点 击  轻因 ·伯 牙绝弦， 将其  加入购物车， 依次选  择大杯， 少 冰，标  准糖,12.5,11.1437,7
同城,type21,😆😊😊打开同城旅行，点击旅游，emmmm点击跟团游，然后呢，出发日期。。。点击后选择2025年12月18日，游玩天数点击      后选择3天，目的地点击后😊选择成都，,40.0,15.8813,10
高德,type21,da开高德，点ji更多gong具，在高德精选🀄️找倒语音包，并点入h,100.0,8.3565,3
京东,type21,，，打开京东，点击 我的，dianji设置，滑动划动找倒模式切换，点击进入hou选择长辈模式（（（,39.2857,12.0693,8
美团,type21,打开美团，惦记--电影演出，点击上-边左侧1的“电影/影院”，选中“巨幕影城（光谷广场资本大厦店），。。buy 今天（12月1日），12:10分🉐疯狂动物城2的电影票,100.0,6.9425,4
淘宝,type21,打开。淘宝，点击dd上方国补，点击国补官方榜单，选择电视，点击22第4个产品，点击加入dd购物车，选择2件，选择【144Hz高刷 2+64GB大存储】REDMI AI X65,100.0,12.312,7
网易云音乐,type21,hhhhhhhhh打开网易云音乐，点击每日推荐，。dianji播放全部,100.0,3.5919,2
微博,type21,我希望你严格遵循以下指令（严肃😠），✅关注杨奇超话的任务 1）打开weibo 2）在下方图标栏dian击我 3）查看关注 4）下滑找到 -杨奇-     ---并点击 5）点超话 6）点关注，快点开始吧 ,16.6667,10.4025,7
小红书,type21,打开‘小红】】书，点击】】】市集，点击【【【潮玩，选择【】结界兽00并点击,100.0,5.0949,3
知乎,type21,9090打开知乎，点击%……¥%…消息，点击评论转发31212,100.0,3.3317,2
bilibili,type21,打开bilibili，点击叶面下房图标我的，点击关注，上滑找到影视飓风，点几进入影视飓风的主业，点击充电,38.9286,14.5014,9
携程,type21,打开携程旅行，dianji酒店，城市点击后       再国内热门城市中煊泽北京 time选择12月24日-12月25，价格选择300-400后点击完成，点击查询酒店,87.2222,27.3857,16
饿了么,type21,打开饿了么，在推荐 首页  点击 甜品  饮品，在精选中上  滑找到     霸王      茶姬（中商世     界里店），点击  左侧  轻 因 专区 栏 ，点 击  轻因 ·伯 牙绝弦， 将其  加入购物车， 依次选  择大杯， 少 冰，标  准糖,12.5,11.1437,7
同城,type21,😆😊😊打开同城旅行，点击旅游，emmmm点击跟团游，然后呢，出发日期。。。点击后选择2025年12月18日，游玩天数点击      后选择3天，目的地点击后😊选择成都，,40.0,15.8813,10
高德,type21,da开高德，点ji更多gong具，在高德精选🀄️找倒语音包，并点入h,100.0,8.3565,3
京东,type21,，，打开京东，点击 我的，dianji设置，滑动划动找倒模式切换，点击进入hou选择长辈模式（（（,39.2857,12.0693,8
美团,type21,打开美团，惦记--电影演出，点击上-边左侧1的“电影/影院”，选中“巨幕影城（光谷广场资本大厦店），。。buy 今天（12月1日），12:10分🉐疯狂动物城2的电影票,100.0,6.9425,4
淘宝,type21,打开。淘宝，点击dd上方国补，点击国补官方榜单，选择电视，点击22第4个产品，点击加入dd购物车，选择2件，选择【144Hz高刷 2+64GB大存储】REDMI AI X65,100.0,12.312,7
