model_name,app,task_type,instruction,score,timeuse,op_times
,高德,type21,da开高德，点ji更多gong具，在高德精选🀄️找倒语音包，并点入h,49.2593,104.3667,7.0
,京东,type21,，，打开京东，点击 我的，dianji设置，滑动划动找倒模式切换，点击进入hou选择长辈模式（（（,100.0,76.2018,5.0
,美团,type21,打开美团，惦记--电影演出，点击上-边左侧1的“电影/影院”，选中“巨幕影城（光谷广场资本大厦店），。。buy 今天（12月1日），12:10分🉐疯狂动物城2的电影票,24.6,201.5552,7.0
,淘宝,type21,打开。淘宝，点击dd上方国补，点击国补官方榜单，选择电视，点击22第4个产品，点击加入dd购物车，选择2件，选择【144Hz高刷 2+64GB大存储】REDMI AI X65,100.0,164.2033,7.0
,网易云音乐,type21,hhhhhhhhh打开网易云音乐，点击每日推荐，。dianji播放全部,100.0,44.3768,2.0
,微博,type21,我希望你严格遵循以下指令（严肃😠），✅关注杨奇超话的任务 1）打开weibo 2）在下方图标栏dian击我 3）查看关注 4）下滑找到 -杨奇-     ---并点击 5）点超话 6）点关注，快点开始吧 ,50.0,71.6507,4.0
,小红书,type21,打开‘小红】】书，点击】】】市集，点击【【【潮玩，选择【】结界兽00并点击,100.0,78.6416,3.0
,知乎,type21,9090打开知乎，点击%……¥%…消息，点击评论转发31212,99.8148,71.8815,4.0
,bilibili,type21,打开bilibili，点击叶面下房图标我的，点击关注，上滑找到影视飓风，点几进入影视飓风的主业，点击充电,56.25,361.3754,24.0
,携程,type21,打开携程旅行，dianji酒店，城市点击后       再国内热门城市中煊泽北京 time选择12月24日-12月25，价格选择300-400后点击完成，点击查询酒店,88.4211,345.663,17.0
,饿了么,type21,打开饿了么，在推荐 首页  点击 甜品  饮品，在精选中上  滑找到     霸王      茶姬（中商世     界里店），点击  左侧  轻 因 专区 栏 ，点 击  轻因 ·伯 牙绝弦， 将其  加入购物车， 依次选  择大杯， 少 冰，标  准糖,74.7619,194.8523,10.0
,同城,type21,😆😊😊打开同城旅行，点击旅游，emmmm点击跟团游，然后呢，出发日期。。。点击后选择2025年12月18日，游玩天数点击      后选择3天，目的地点击后😊选择成都，,50.0,203.1464,11.0
,美团,type6,打开美团，帮我在酒店名宿 查找一下2025年12月24日至2025年12月25日的上海酒店,100.0,330.7732,8.0
,美团,type7,打开美团， 在电影演出中 购买近期热门电影演出中的一张电影票,100.0,109.0078,2.0
,美团,type8,打开美团，在看病买药中，购买治疗感冒发烧的999感冒灵颗粒,59.7727,293.2823,9.0
,美团,type9,打开美团，在酒店名宿当中查看12月24日至12月25日的酒店，在上海外滩附近,26.526,544.1963,17.0
,美团,type10,打开美团，去领取并使用外卖大额神券,100.0,180.7124,4.0
,淘宝,type1,打开淘宝，搜索小米眼镜,100.0,150.7539,4.0
,淘宝,type2,打开淘宝，查看我关注的店铺列表,50.0,53.3861,1.0
,淘宝,type3,打开淘宝， 关注 影视飓风官方旗舰店，,100.0,264.3053,6.0
,淘宝,type4,“打开淘宝， 将购物车中的第一件物品下单”,100.0,154.4879,3.0
,淘宝,type5,打开淘宝，帮我购买 一个 内存128G 标配的大疆Osmo Nano拇指相机,100.0,374.5993,8.0
,淘宝,type6,打开淘宝， 进入影视飓风官方旗舰店，并搜索连帽卫衣,66.6667,387.2847,8.0
,淘宝,type7,打开淘宝， 和官方客服联系申请退款售后服务,100.0,146.2946,3.0
,淘宝,type8,打开淘宝，在闪购外卖中点两杯瑞幸咖啡的生椰拿铁，温度要求热，甜度是标准甜,28.5714,570.3007,11.0
,淘宝,type9,打开淘宝，将我购物车的第一件商品下单,100.0,240.7213,5.0
,淘宝,type10,打开淘宝，购买影视飓风云柔石肌理卫衣，选择花灰色，2XL,55.0556,576.6515,12.0
,网易云音乐,type1,在网易云音乐APP里输入“邓紫棋”进行搜索。并进入主页,100.0,120.2565,4.0
,网易云音乐,type2,搜索歌手邓紫棋，然后点开第一首歌曲进行播放,75.0,153.3887,5.0
,网易云音乐,type3,打开网易云音乐，开启漫游随机播放,0.0,292.8845,6.0
,网易云音乐,type4,打开网易云音乐，关注歌手邓紫棋，播放她首页的第一首歌，然后给她发私信“KKSK” ,59.7222,479.7267,13.0
,网易云音乐,type5,打开网易云音乐，在 我的 页面下 我喜欢的音乐中 搜索 曲目 “love story” 并播放 ,100.0,108.4135,3.0
